School ID,Name,Address,,,,
8,"St Joseph's Central School, Blayney NSW","Adelaide St, NSW, Blayney, Australia 2799",,,,
10,New School,"123 New School Rd, VIC, Suburb, Australia 3152",,,,
11,"Swifts Creek School (Secondary Campus), VIC","PO Box 180, VIC, Swifts Creek, Australia 3896",,,,
12,"Burdekin Catholic High School, Ayr QLD","45 Gibson St, QLD, Ayr, Australia 4807",,,,
13,"McDonald's Australia, Thornleigh NSW","21-29 Central Ave, NSW, Thornleigh, Australia 2120",,,,
15,Our Lady of the Sacred Heart (T-4) NT,"P.O. Box 2508, NT, Alice Springs, Australia 0872",,,,
17,"Ronald McDonald House Charities, Thornleigh NSW","21-29 Central Ave, NSW, Thornleigh, Australia 2120",,,,
18,"St Paul's Grammar School, Cranebrook NSW","52 Taylor Rd, NSW, Cranebrook, Australia 2749",,,,
21,"Coomealla High School, Dareton NSW","Silver City Hwy, NSW, Dareton, Australia 2717",,,,
23,"Alexandra Hills State High School, QLD","PO Box 234, QLD, Capalaba, Australia 4157",,,,
25,Griffith High School NSW,"Coolah St, NSW, Griffith, Australia 2680",,,,
26,"Shearwater Steiner School, Mullumbimby NSW","PO Box 839, NSW, Mullumbimby, Australia 2482",,,,
28,Salesian College Rupertswood VIC,"1 Macedon Street, VIC, Sunbury, Australia 3429",,,,
29,Demo School,"1 George St, NSW, Sydney, Australia 2000",,,,
32,"St Columba's Catholic College, Springwood NSW","168 Hawkesbury Road, NSW, Springwood, Australia 2777",,,,
33,Glen Innes High School NSW,"PO Box 405, NSW, Glen Innes, Australia 2370",,,,
34,"Lakeside College, Pakenham VIC","2 Portobello Road, VIC, Pakenham, Australia 3810",,,,
36,Underdale High School SA,"19 Garden Terrace, SA, Underdale, Australia 5032",,,,
37,Central Queensland Christian College QLD,"PO Box 5313, QLD, North Rockhampton, Australia 4702",,,,
38,Murdoch College WA,"Murdoch Drive, WA, Murdoch, Australia 6150",,,,
39,"Riverside Distance Education, Maryborough QLD","PO Box 2069, QLD, Maryborough DC, Australia 4650",,,,
40,Mt Isa School of the Air QLD,"PO Box 1683, QLD, Mt Isa, Australia 4825",,,,
41,"Capricornia School of Distance Ed, Emerald QLD","PO Box 1616, QLD, Emerald, Australia 4720",,,,
42,Cairns Distance Education QLD,"Hoare Street, QLD, Cairns, Australia 4870",,,,
43,Charleville School of Distance Education QLD,"Parry St, QLD, Charleville, Australia 4470",,,,
45,"Covenant College, Bell Post Hill VIC","Creamery Road Mail Centre, VIC, Geelong, Australia 3221",,,,
49,"James Sheahan Catholic High School, Orange NSW","PO Box 146, NSW, Orange, Australia 2800",,,,
50,"Xavier College, Llandilo NSW","PO Box 98, NSW, Cranebrook, Australia 2749",,,,
51,Demonstration School,"12 Main St, NSW, Sydney, Australia 2000",,,,
52,Blayney High School NSW,"Water St, NSW, Blayney, Australia 2799",,,,
53,"Townsville State High School, Railway Estate QLD","PO Box 5439, QLD, Townsville, Australia 4810",,,,
54,"Mt St Michael's College, Ashgrove QLD","67 Elimatta Drive, QLD, Ashgrove, Australia 4060",,,,
56,Moruya High School NSW,"Albert St, NSW, Moruya, Australia 2537",,,,
57,"Sacred Heart Catholic School, Diamond Creek VIC","25 Gipson Street, VIC, Diamond Creek, Australia 3089",,,,
58,Kyogle High School NSW,"Summerland Way, NSW, Kyogle, Australia 2474",,,,
59,Valley View Secondary School,"240 Wright Road, SA, Para Vista, Australia 5093",,,,
60,Turramurra High School NSW,"Maxwell Street, NSW, Turramurra, Australia 2074",,,,
61,Canterbury Girls High School NSW,"Church Street, NSW, Canterbury, Australia 2193",,,,
62,"Holy Trinity School, Inverell NSW","Moore Street, NSW, Inverell, Australia 2360",,,,
63,Bell State School QLD,"90 Dennis St, QLD, Bell, Australia 4408",,,,
65,Parafield Gardens High School SA,"15 Shepherson Rd, SA, Parafield Gardens, Australia 5107",,,,
66,"The Riverina Anglican College, Wagga Wagga NSW","Farrer Rd, NSW, Wagga Wagga, Australia 2650",,,,
67,Sarina State School QLD,"Broad Street, QLD, Sarina, Australia 4737",,,,
69,"Georges River College, Peakhurst Campus NSW","Rona St, NSW, Peakhurst, Australia 2210",,,,
70,"Holy Spirit College, Lakemba NSW","39 Croydon St, NSW, Lakemba, Australia 2209",,,,
71,"John XXIII College, Mount Claremont WA","John XXIII Avenue, WA, Mount Claremont, Australia 6010",,,,
72,Winthrop Primary School WA,"Jackson Avenue, WA, Winthrop, Australia 6150",,,,
73,"Somerset College, Mudgeeraba QLD","Somerset Dr, QLD, Mudgeeraba, Australia 4220",,,,
74,Nimbin Central School NSW,"23 a Thorburn Street, NSW, Nimbin, Australia 2480",,,,
75,"Mazenod College, Lesmurdie WA","55 Gladys Road, WA, Lesmurdie, Australia 6076",,,,
76,Alyangula Area School NT,"PMB 3, NT, Alyangula, Australia 0885",,,,
77,"Australian Industry Trade College, Robina QLD","281 Scottsdale Drive, QLD, Robina, Australia 4226",,,,
78,"Good Counsel College, Innisfail QLD","PO Box 839, QLD, Innisfail, Australia 4860",,,,
79,Green Point Christian College NSW,"Avoca Drive, NSW, Green Point, Australia 2251",,,,
80,"John Paul College, Coffs Harbour NSW","Hogbin Drive, NSW, Coffs Harbour, Australia 2450",,,,
81,"Loreto College, Marryatville SA","316 Portrush Road, SA, Marryatville, Australia 5068",,,,
82,Mackay State High School QLD,"PO Box 5665 Mackay Mail Centre, QLD, Mackay, Australia 4741",,,,
83,Narangba Valley State School QLD,"Creekside Drive, QLD, Narangba, Australia 4504",,,,
84,New Town High School TAS,"6 Midwood Street, TAS, New Town, Australia 7008",,,,
85,Oak Flats High School NSW,"The Esplanade, NSW, Oak Flats, Australia 2529",,,,
86,Penola High School SA,"43 Cameron St, SA, Penola, Australia 5277",,,,
87,"Aldridge State High School, Maryborough QLD","Boys Avenue, QLD, Maryborough, Australia 4650",,,,
88,"Pine Rivers State High School, Strathpine QLD","Gympie Road, QLD, Strathpine, Australia 4503",,,,
89,"St Aidan's Anglican Girls School, Corinda QLD","11 Ruthven St, QLD, Corinda, Australia 4101",,,,
90,"St Bishoy Coptic Orthodox College, Mt Druitt NSW","53-59 Methvan St, NSW, Mount Druitt, Australia 2770",,,,
91,"St Philip's Christian College (Junior), Narara NSW","20 Narara Creek Rd, NSW, Narara, Australia 2250",,,,
93,Scottsdale High School TAS,"20 Coplestone St, TAS, Scottsdale, Australia 7260",,,,
94,Shelley Primary School SA,"Monota Ave, WA, Shelley, Australia 6148",,,,
95,"Southern Cross Distance Education, Ballina NSW","Chickiba Drive, NSW, East Ballina, Australia 2478",,,,
96,Toronto High School NSW,"Field Ave, NSW, Toronto, Australia 2298",,,,
98,Terrigal High School NSW,"Charles Kay Drive, NSW, Terrigal, Australia 2260",,,,
99,"St Patrick's College, Sutherland NSW","551 President Avenue, NSW, Sutherland, Australia 2232",,,,
101,"All Saints College, Bull Creek WA","Ewing Avenue, WA, Bull Creek, Australia 6149",,,,
102,"Swansea High School, Caves Beach NSW","Park Avenue, NSW, Caves Beach, Australia 2281",,,,
103,"St John Paul II College, Schofields NSW","Hambledon Road, NSW, Schofields, Australia 2762",,,,
104,Albany Senior High School WA,"1 Campbell Road, WA, Albany, Australia 6330",,,,
105,Gin Gin State High School QLD,"High School Rd, QLD, Gin Gin, Australia 4671",,,,
106,Heatley Secondary College QLD,"P.O. Box 64, QLD, Aitkenvale, Australia 4814",,,,
107,Nambucca Heads High School NSW,"Centenary Parade, NSW, Nambucca Heads, Australia 2448",,,,
108,Penguin High School TAS,"PO Box 138, TAS, Penguin, Australia 7316",,,,
110,Morayfield State High School QLD,"Visentin Road, QLD, Morayfield, Australia 4506",,,,
111,Mount Annan High School NSW,"248 Welling Drive, NSW, Mount Annan, Australia 2570",,,,
112,Bairnsdale West Primary School VIC,"P.O. Box 7, VIC, Bairnsdale, Australia 3875",,,,
113,"Hunter Sports High School, Gateshead NSW","Pacific Highway, NSW, Gateshead, Australia 2290",,,,
115,"Our Lady of Mercy College, Parramatta NSW","Victoria Road, NSW, Parramatta, Australia 1750",,,,
116,"Canberra High School, Macquarie ACT","Bindubi St, ACT, Macquarie, Australia 2614",,,,
117,"Holy Spirit College, Bellambi NSW","Cawley Road, NSW, Bellambi, Australia 2518",,,,
119,Kaniva College VIC,"Farmers Street, VIC, Kaniva, Australia 3418",,,,
120,Moree Secondary College (Carol Ave Campus) NSW,"Carol Ave, NSW, Moree, Australia 2400",,,,
121,"St James' College, Spring Hill QLD","201 Boundary St, QLD, Spring Hill, Australia 4000",,,,
122,St Michael's Grammar School (Senior School) VIC,"25 Chapel St, VIC, St Kilda, Australia 3182",,,,
123,Barraba Central School,"West Street, NSW, Barraba, Australia 2347",,,,
124,Canterbury Boys High School NSW,"Holden St, NSW, Canterbury, Australia 2193",,,,
125,Eidsvold State School QLD,"7 Hodgkinson Street, QLD, Eidsvold, Australia 4627",,,,
129,"Applecross Senior High School, Ardross WA","53 Links Rd, WA, Ardross, Australia 6164",,,,
130,Bellarine Secondary College (Ocean Grove) VIC,"Sheel Rd, VIC, Ocean Grove, Australia 3226",,,,
131,"St Joseph's College, Brisbane QLD","Gregory Terrace, QLD, Brisbane, Australia 4000",,,,
132,DELETE,"10 Randford Rd, WA, Wagin, Australia 6315",,,,
133,"Wynnum State High School, Manly QLD","Peel St, QLD, Manly, Australia 4179",,,,
134,Blacktown Girls High School NSW,"PO Box 6009, NSW, Blacktown, Australia 2148",,,,
135,"Kolbe Catholic College, Rockingham WA","PO Box 2185, WA, Rockingham, Australia 6967",,,,
137,"Ascham School, Edgecliff NSW","188 New South Head Rd, NSW, Edgecliff, Australia 2027",,,,
138,"Toolooa State High School, Gladstone QLD","Philip Street, QLD, Gladstone, Australia 4680",,,,
139,Banora Point High School NSW,"Eucalyptus Drive, NSW, Banora Point, Australia 2486",,,,
140,"Nagle Catholic College, Geraldton WA","Sanford Street, WA, Geraldton, Australia 6530",,,,
141,Cadoux Primary WA,"James St, WA, Cadoux, Australia 6466",,,,
142,Randwick College of TAFE NSW,"Cnr Darley Road and King Street, NSW, Randwick, Australia 2031",,,,
143,Camden High School NSW,"300 Cawdor Road, NSW, Camden, Australia 2570",,,,
144,"Caroline Chisholm College, Glenmore Park NSW","90-98 The Lakes Drive, NSW, Glenmore Park, Australia 2745",,,,
148,"Hincks Avenue Primary School, Whyalla Norrie SA","Schulz Ave, SA, Whyalla, Australia 5608",,,,
151,"Tuggerah Lakes Secondary, Tumbi Umbi Campus NSW","Bellevue Rd, NSW, Tumbi Umbi, Australia 2261",,,,
152,"Tweed Valley Adventist College, Murwillumbah NSW","9 Hall Drive, NSW, Murwillumbah, Australia 2484",,,,
153,Binnaway Central School NSW,"David St, NSW, Binnaway, Australia 2395",,,,
154,"Gold Creek School, Nicholls ACT","Kelleway Ave, ACT, Nicholls, Australia 2913",,,,
157,"Ajuga School, Glenfield NSW","Quartersessions  Rd, NSW, Glenfield, Australia 2167",,,,
161,"Brigidine College, Randwick NSW","6  Aeolia Street, NSW, Randwick, Australia 2031",,,,
162,Burra Community Area School SA,"Bridge Terrace, SA, Burra, Australia 5417",,,,
163,"Christian Brothers College, Fremantle WA","51 Ellen St, WA, Fremantle, Australia 6160",,,,
164,"De La Salle College, Ashfield NSW","24 Bland St, NSW, Ashfield, Australia 2131",,,,
165,Emmaville Central School NSW,"Park Road, NSW, Emmaville, Australia 2371",,,,
166,Sheldon College QLD,"Taylor Road, QLD, Sheldon, Australia 4157",,,,
169,Warnbro Community High School WA,"Swallowtail Road, WA, Warnbro, Australia 6169",,,,
170,Bowral High School NSW,"Aitken Road, NSW, Bowral, Australia 2576",,,,
171,Deloraine High School TAS,"Lansdowne Place, TAS, Deloraine, Australia 7304",,,,
172,Fairfield High School NSW,"The Horsley Drive, NSW, Fairfield, Australia 2165",,,,
173,St Ignatius College (Senior School) Lane Cove NSW,"Tambourine Bay Rd, NSW, Lane Cove, Australia 2066",,,,
174,"St George Christian School, Hurstville NSW","70 Bellevue Parade, NSW, Hurstville, Australia 2234",,,,
175,"St Mary's Primary, Bowen QLD","39 Poole Street, QLD, Bowen, Australia 4805",,,,
177,"De La Salle College, Revesby NSW","9 Ferndale Rd, NSW, Revesby Heights, Australia 2212",,,,
181,"Iona College, Wynnum West QLD","PO Box 351, QLD, Wynnum Central, Australia 4178",,,,
182,Canning Vale College WA,"26 Dumbarton Rd, WA, Canning Vale, Australia 6155",,,,
183,Collie Senior High School WA,"Wittenoom St, WA, Collie, Australia 6225",,,,
184,Glenmore Park High School NSW,"Glenmore Park Way, NSW, Glenmore Park, Australia 2570",,,,
186,Davidson High School NSW,"Mimosa Street, NSW, Frenchs Forest, Australia 2086",,,,
187,"St Mary and St Mina Coptic Orthodox, Bexley NSW","4-6 Alexandra Parade, NSW, Rockdale, Australia 2216",,,,
189,"Buckley Park College, Essendon VIC","Cooper St, VIC, Essendon, Australia 3040",,,,
192,Banksia Park International High School SA,"610 Milne Road, SA, Banksia Park, Australia 5091",,,,
194,"St Joseph's College, Albany WA","Martin Road, WA, Albany, Australia 6330",,,,
199,Scotch College (Junior) Hawthorn VIC,"1 Morrison Street, VIC, Hawthorn, Australia 3122",,,,
204,Centenary Heights State High School,"60 Ramsay St, QLD, Toowoomba, Australia 4350",,,,
205,Finley High School NSW,"Tocumwal St, NSW, Finley, Australia 2713",,,,
206,"Cyril Jackson Senior Campus, Bassendean WA","53 Reid Street, WA, Bassendean, Australia 6054",,,,
207,Beeliar Primary WA,"86 The Grange, WA, Beeliar, Australia 6164",,,,
208,Coleambally Central School NSW,"Kingfisher Ave, NSW, Coleambally, Australia 2707",,,,
210,Dromana Secondary College,"110 Harrisons Road, VIC, Dromana, Australia 3939",,,,
211,Eaglehawk Secondary College VIC,"Reserve Street, VIC, Eaglehawk, Australia 3556",,,,
